MES,REFERENCIA,CANTIDAD
2026-05-01,2019371,157440
2026-05-01,2019372,157440
2026-05-01,2019375,26112
2026-05-01,2019376,26280
2026-05-01,2019381,18704
2026-05-01,2019382,9352
2026-05-01,2019386,53244
2026-05-01,2019387,53280
2026-05-01,2019394,3000
2026-05-01,2019402,17544
2026-05-01,2019403,17460
2026-05-01,2019410,52416
2026-05-01,2019411,52560
2026-05-01,2019421,190332
2026-05-01,2019422,190350
2026-05-01,2019423,190350
2026-05-01,2019444,7020
2026-05-01,2019445,7080
2026-05-01,2019468,2201
2026-05-01,2019469,1300
2026-05-01,2019472,35640
2026-05-01,2019481,52836
2026-05-01,2019483,38760
2026-05-01,2019484,38700
2026-05-01,2019491,1766
2026-05-01,2019492,1766
2026-05-01,2019495,84630
2026-05-01,2019496,42315
2026-05-01,2019502,17340
2026-05-01,2019503,17400
2026-05-01,2019509,109344
2026-05-01,2019510,109200
2026-05-01,2019528,27720
2026-05-01,2019529,27720
2026-05-01,2019551,38760
2026-05-01,2019552,38700
2026-05-01,2019561,5580
2026-05-01,2019562,5640
2026-05-01,2019569,8568
2026-05-01,2019570,8640
2026-05-01,2019581,196860
2026-05-01,2019582,196950
2026-05-01,2019613,11552
2026-05-01,2019624,49768
2026-05-01,2019625,24884
2026-05-01,2019632,38760
2026-05-01,2019633,38700
2026-05-01,2019636,144
2026-05-01,2019651,13056
2026-05-01,2019652,13200
2026-05-01,2019655,8000
2026-05-01,2019662,4896
2026-05-01,2019663,4800
2026-05-01,2019664,39372
2026-05-01,2019665,39450
2026-05-01,2019691,29172
2026-05-01,2019692,29160
2026-05-01,2019699,34272
2026-05-01,2019700,34380
2026-05-01,2019701,8364
2026-05-01,2019702,8400
2026-05-01,2019703,8364
2026-05-01,2019704,8400
2026-05-01,2019759,19380
2026-05-01,2019760,19440
2026-05-01,2019778,38148
2026-05-01,2019779,38160
2026-05-01,2019798,17340
2026-05-01,2019799,17400
2026-05-01,2019802,10404
2026-05-01,2019803,10500
2026-05-01,2019809,12780
2026-05-01,2019810,12720
2026-05-01,2019820,5100
2026-05-01,2019821,5040
2026-05-01,2019822,26316
2026-05-01,2019823,26250
2026-05-01,2019825,190332
2026-05-01,2019826,190350
2026-05-01,2019827,190350
2026-05-01,2019829,4224
2026-05-01,2019830,4200
2026-05-01,2019839,29172
2026-05-01,2019840,29160
2026-05-01,2019841,5568
2026-05-01,2019842,5640
2026-05-01,2019846,9792
2026-05-01,2019847,9720
2026-05-01,2019863,5916
2026-05-01,2019864,5760
2026-05-01,2019865,5916
2026-05-01,2019866,5760
2026-05-01,2019867,5916
2026-05-01,2019868,5760
2026-05-01,2019869,5508
2026-05-01,2019870,5550
2026-05-01,2019871,5304
2026-05-01,2019872,5400
2026-05-01,2019873,13056
2026-05-01,2019874,13200
2026-05-01,2019875,17340
2026-05-01,2019876,17400
2026-05-01,2019879,75480
2026-05-01,2019880,236250
2026-05-01,2019890,7344
2026-05-01,2019891,3600
2026-05-01,2019893,8772
2026-05-01,2019894,8850
2026-05-01,2019895,3262
2026-05-01,2019896,84630
2026-05-01,2019897,42315
2026-05-01,2019901,26316
2026-05-01,2019902,26280
2026-05-01,2019903,5304
2026-05-01,2019904,5400
2026-05-01,2019908,8364
2026-05-01,2019909,8400
2026-05-01,2019910,14076
2026-05-01,2019911,14100
2026-05-01,2019917,15708
2026-05-01,2019918,15660
2026-05-01,2019921,4284
2026-05-01,2019922,4200
2026-05-01,2019923,11016
2026-05-01,2019924,10950
2026-05-01,2019925,18360
2026-05-01,2019926,18450
2026-05-01,2019933,13260
2026-05-01,2019934,13200
2026-05-01,2019939,8772
2026-05-01,2019940,8850
2026-05-01,2019952,11016
2026-05-01,2019953,10920
2026-05-01,2019954,10920
2026-05-01,2019955,38760
2026-05-01,2019956,38700
2026-05-01,2019957,7020
2026-05-01,2019958,6960
2026-06-01,2000019,2804
2026-06-01,2000027,8470
2026-06-01,2000043,38168
2026-06-01,2000044,6430
2026-06-01,2000109,3954
2026-06-01,2000114,6311
2026-06-01,2000979,2267
2026-06-01,2000981,2872
2026-06-01,2001003,36462
2026-06-01,2001121,52917
2026-06-01,2001231,4443
2026-06-01,2001545,3118
2026-06-01,2001577,11451
2026-06-01,2001606,3287
2026-06-01,2001614,6039
2026-06-01,2001619,36793
2026-06-01,2001672,1584
2026-06-01,2001796,5923
2026-06-01,2002020,42768
2026-06-01,2002297,3718
2026-06-01,2002330,4834
2026-06-01,2002333,4462
2026-06-01,2002383,1804
2026-06-01,2002424,18897
2026-06-01,2002425,3498
2026-06-01,2002442,11726
2026-06-01,2002462,252
2026-06-01,2002479,16301
2026-06-01,2002496,4950
2026-06-01,2002599,1347
2026-06-01,2002859,38
2026-06-01,2003023,4858
2026-06-01,2003028,557
2026-06-01,2003163,645
2026-06-01,2004081,3614
2026-06-01,2004083,5634
2026-06-01,2004876,4818
2026-06-01,2004894,7065
2026-06-01,2004955,6710
2026-06-01,2005270,4510
2026-06-01,2005591,6764
2026-06-01,2005592,4642
2026-06-01,2005669,406
2026-06-01,2005787,3907
2026-06-01,2005943,366845
2026-06-01,2005962,11548
2026-06-01,2006020,3382
2026-06-01,2006205,317
2026-06-01,2006222,973
2026-06-01,2006451,1006
2026-06-01,2006655,5861
2026-06-01,2008458,2424
2026-06-01,2009486,1732
2026-06-01,2009517,495
2026-06-01,2009518,495
2026-06-01,2009532,4700
2026-06-01,2009680,1224
2026-06-01,2009880,72000
2026-06-01,2009951,996
2026-06-01,2009968,20000
2026-06-01,2010124,1851
2026-06-01,2010169,328
2026-06-01,2010185,3416
2026-06-01,2010241,18204
2026-06-01,2010253,392
2026-06-01,2010277,4156
2026-06-01,2010356,1043
2026-06-01,2010374,558
2026-06-01,2010447,1814
2026-06-01,2010460,497
2026-06-01,2010461,497
2026-06-01,2010854,13071
2026-06-01,2010886,2591
2026-06-01,2010928,1533
2026-06-01,2010962,1521
2026-06-01,2010995,2397
2026-06-01,2011018,80699
2026-06-01,2011020,130
2026-06-01,2011093,2
2026-06-01,2011103,2973
2026-06-01,2011232,17315
2026-06-01,2011275,14430
2026-06-01,2011276,3435
2026-06-01,2011297,32461
2026-06-01,2011799,16324
2026-06-01,2011820,3976
2026-06-01,2011827,24685
2026-06-01,2011849,2387505
2026-06-01,2011991,2255
2026-06-01,2012035,108049
2026-06-01,2012104,2033
2026-06-01,2012141,2838
2026-06-01,2012142,32349
2026-06-01,2012143,27503
2026-06-01,2012174,5029
2026-06-01,2012208,30492
2026-06-01,2012226,4400
2026-06-01,2012314,38337
2026-06-01,2012338,2583
2026-06-01,2012339,1234
2026-06-01,2012487,119
2026-06-01,2012488,8
2026-06-01,2012489,6
2026-06-01,2012499,24368
2026-06-01,2012505,1167
2026-06-01,2012506,867
2026-06-01,2012512,17770
2026-06-01,2012559,4356
2026-06-01,2012563,12758
2026-06-01,2012623,3158
2026-06-01,2012628,55816
2026-06-01,2012687,4144
2026-06-01,2012743,24169
2026-06-01,2012746,11304
2026-06-01,2012750,18950
2026-06-01,2012754,290
2026-06-01,2012761,9047
2026-06-01,2012922,27050
2026-06-01,2012923,6832
2026-06-01,2012959,14982
2026-06-01,2012964,9388
2026-06-01,2012999,10903
2026-06-01,2013197,5287
2026-06-01,2013205,21102
2026-06-01,2013230,476
2026-06-01,2013426,1751
2026-06-01,2013427,4382
2026-06-01,2013441,4818
2026-06-01,2013442,3224
2026-06-01,2013448,10094
2026-06-01,2013451,6176
2026-06-01,2013453,3438
2026-06-01,2013627,207
2026-06-01,2013640,14085
2026-06-01,2013683,8085
2026-06-01,2013730,2917
2026-06-01,2013760,7989
2026-06-01,2013946,4160
2026-06-01,2013961,673
2026-06-01,2013974,1708000
2026-06-01,2013997,760724
2026-06-01,2013998,362250
2026-06-01,2014029,332904
